ID	Name	Category	Latitude	Longitude	Address	Rating	Total_Reviews	Location	Region
poi_1769331305046_328	Commercial Bank	atm	6.840781	79.8670946	234 Galle Road, Dehiwala-Mount Lavinia	3.5	43	Mount Lavinia	negombo_tangalle
poi_1769331305046_329	NDB Bank - Dehiwala-Mount Lavinia	atm	6.836788299999999	79.867649	No 431, 433 Galle Road, Dehiwala-Mount Lavinia	3	26	Mount Lavinia	negombo_tangalle
poi_1769331305046_330	Bank of Ceylon	atm	6.835792400000001	79.86719219999999	286, A2	2	46	Mount Lavinia	negombo_tangalle
poi_1769331305046_331	Sampath Bank Mount Lavinia	atm	6.8353392	79.8671844	294 Galle Road, Dehiwala-Mount Lavinia	3.2	42	Mount Lavinia	negombo_tangalle
poi_1769331305046_332	HNB Mount Lavinia	atm	6.8326464	79.8675045	605 Galle Road, Dehiwala-Mount Lavinia	3.4	52	Mount Lavinia	negombo_tangalle
poi_1769331305046_333	BANK OF CEYLON	atm	6.852406299999999	79.8660737	207 A2, Dehiwala-Mount Lavinia	3.2	77	Mount Lavinia	negombo_tangalle
poi_1769331305046_334	Seylan Bank PLC - Dehiwala	atm	6.853897700000001	79.8655467	166D Galle Road, Dehiwala-Mount Lavinia	3.5	20	Mount Lavinia	negombo_tangalle
poi_1769331305047_335	NDB Bank - Ratmalana	atm	6.8272724	79.8692252	No 151 Galle Road, Dehiwala-Mount Lavinia	3.3	29	Mount Lavinia	negombo_tangalle
poi_1769331305047_336	Commercial Bank Dehiwela Branch	atm	6.857757599999998	79.8646497	92 Galle - Colombo Road, Dehiwala-Mount Lavinia	3.5	93	Mount Lavinia	negombo_tangalle
poi_1769331305047_337	Sampath Bank Karagampitiya	atm	6.8499732	79.8734831	No. 182/A Hill Street, Dehiwala-Mount Lavinia	2.6	47	Mount Lavinia	negombo_tangalle
poi_1769331305047_338	People's Bank	atm	6.850874499999999	79.8643116	VV27+8PV, Presbyterian Lane, Dehiwala-Mount Lavinia	3.5	35	Mount Lavinia	negombo_tangalle
poi_1769331305047_339	National Savings Bank (NSB) - Dehiwala	atm	6.8506842	79.8631303	VV27+77R, 39, Dehiwala-Mount Lavinia	2.8	21	Mount Lavinia	negombo_tangalle
poi_1769331305047_340	HNB Dehiwela (Hatton National Bank)	atm	6.852359399999999	79.8655844	196 Galle Road, Dehiwala-Mount Lavinia	2.6	59	Mount Lavinia	negombo_tangalle
poi_1769331305047_341	DFCC - LIOC ATM/CDM	atm	6.842456	79.8669268	252 Galle Road, Dehiwala-Mount Lavinia	0	0	Mount Lavinia	negombo_tangalle
poi_1769331305047_342	DFCC Bank - Mt.Lavinia	atm	6.840899999999999	79.8673675	295 Galle Road, Dehiwala-Mount Lavinia	3.7	43	Mount Lavinia	negombo_tangalle
poi_1769331305047_343	Capital Leasing	atm	6.8427089	79.8668881	RVV8+3QJ, Colombo - Galle - Hambantota - Wellawaya Highway, Dehiwala-Mount Lavinia	5	1	Mount Lavinia	negombo_tangalle
poi_1769331305047_344	Commercial Bank Dehiwela (Arpico Super) Branch	atm	6.846723400000001	79.86632139999999	147 Galle Road, Dehiwala-Mount Lavinia	3.7	9	Mount Lavinia	negombo_tangalle
poi_1769331305047_345	NSB Mount Lavinia	atm	6.834531800000001	79.867072	RVM8+RR8, Dehiwala-Mount Lavinia	3.3	26	Mount Lavinia	negombo_tangalle
poi_1769331306798_346	Mount Lavinia Tuk Tuk	tuktuk	6.841023299999999	79.8668785	No 6A Hotel Road, Dehiwala-Mount Lavinia	4	1	Mount Lavinia	negombo_tangalle
poi_1769331310265_352	Cemetery Bus Stop	bus	6.8446769	79.8662442	A2, Dehiwala-Mount Lavinia	4.4	14	Mount Lavinia	negombo_tangalle
poi_1769331310265_353	Bus Stop	bus	6.844653999999999	79.8662915	Sri Lanka	0	0	Mount Lavinia	negombo_tangalle
poi_1769331310265_354	Dehiwala Cemetry	bus	6.844596999999999	79.8663809	Sri Lanka	5	1	Mount Lavinia	negombo_tangalle
poi_1769331310265_355	Dehiwala Cemetry	bus	6.844678900000001	79.8662616	Sri Lanka	5	1	Mount Lavinia	negombo_tangalle
poi_1769331310265_356	Bus Stop	bus	6.837784500000001	79.8674539	Sri Lanka	0	0	Mount Lavinia	negombo_tangalle
poi_1769331310265_357	Bus Stop	bus	6.837760500000001	79.8675799	Sri Lanka	5	1	Mount Lavinia	negombo_tangalle
poi_1769331310265_358	Bus Stop	bus	6.8353504	79.8673151	Sri Lanka	0	0	Mount Lavinia	negombo_tangalle
poi_1769331310265_359	Bus Stop	bus	6.835392999999999	79.86747869999999	Sri Lanka	0	0	Mount Lavinia	negombo_tangalle
poi_1769331310265_360	Mt. Lavinia Bus Stop	bus	6.8337208	79.8674391	Sri Lanka	0	0	Mount Lavinia	negombo_tangalle
poi_1769331310265_361	Mt.Laviniya	bus	6.8333214	79.8674458	Sri Lanka	0	0	Mount Lavinia	negombo_tangalle
poi_1769331310265_362	Mt.Laviniya	bus	6.833177599999999	79.86729559999999	Sri Lanka	4.3	3	Mount Lavinia	negombo_tangalle
poi_1769331310265_363	Bus Stop	bus	6.8488903	79.86590559999999	Sri Lanka	3	1	Mount Lavinia	negombo_tangalle
poi_1769331310265_364	Bus Stop	bus	6.8488743	79.8660665	Sri Lanka	0	0	Mount Lavinia	negombo_tangalle
poi_1769331310265_365	Mt. Lavinia Bus Stop	bus	6.83297	79.86735	A2, Dehiwala-Mount Lavinia	3.3	6	Mount Lavinia	negombo_tangalle
poi_1769331310265_366	Mt. Lavinia Bus Stop	bus	6.8328027	79.86747369999999	Sri Lanka	0	0	Mount Lavinia	negombo_tangalle
poi_1769331313665_387	MARIPURAM SRI MUTHTHUMAARI AMMAN KOVIL	culture	6.838821399999999	79.8735069	RVQF+FHJ, Dehiwala-Mount Lavinia	4.5	10	Mount Lavinia	negombo_tangalle
poi_1769331313665_388	Kannagi kovil	culture	6.853109	79.8638239	2, 10 Rodrigo Lane, Dehiwala-Mount Lavinia	0	0	Mount Lavinia	negombo_tangalle
poi_1769331313665_389	Kovil andorson	culture	6.855927100000001	79.86297330000001	VV47+95H, Dehiwala-Mount Lavinia	0	0	Mount Lavinia	negombo_tangalle
poi_1769331315433_390	Church of St. Francis of Assisi	culture	6.833669899999999	79.8638405	80 Hotel Road, Dehiwala-Mount Lavinia	4.6	54	Mount Lavinia	negombo_tangalle
poi_1769331315433_391	Christian Reformed Church, Dehiwala	culture	6.850796799999999	79.8639116	33, Station Road Dehiwela, MountLavinia	4.6	25	Mount Lavinia	negombo_tangalle
poi_1769331315433_392	College Chapel	culture	6.8373813	79.8660398	Chapel of the Transfiguration, Dehiwala-Mount Lavinia	4.9	18	Mount Lavinia	negombo_tangalle
poi_1769331315433_393	The Glorious Church Mount Branch	culture	6.8336549	79.8695121	No 19/2, Menerigama Place (Off, Dakshinarama Road, Dehiwala-Mount Lavinia	4.8	180	Mount Lavinia	negombo_tangalle
poi_1769331315433_394	TLJC Church	culture	6.8297833	79.87038	No: 15A, Vidyala Road, Off Templers Road, Attidiya - Mount Lavinia Road, Dehiwala-Mount Lavinia	5	9	Mount Lavinia	negombo_tangalle
poi_1769331315433_395	Kingdom Hall of Jehovah's Witnesses - Ratmalana	culture	6.825360799999999	79.86912679999999	194/3 William Place, Dehiwala-Mount Lavinia	4.9	27	Mount Lavinia	negombo_tangalle
poi_1769331315433_396	St. Anthony's Church, Mount Lavinia | සාන්ත අන්තෝනි දේවස්ථානය - ගල්කිස්ස	culture	6.8436693	79.8675652	10 Saint Anthony's Mw, Dehiwala-Mount Lavinia	4.7	109	Mount Lavinia	negombo_tangalle
poi_1769331315433_397	Christ Church, Galkissa - Church of Ceylon	culture	6.848284799999998	79.865799	No. 82 ගාලු පාර, Dehiwala-Mount Lavinia	4.5	82	Mount Lavinia	negombo_tangalle
poi_1769331315433_398	Methodist Church Mt. Lavinia	culture	6.8365844	79.866441	29 Hotel Road, Dehiwala-Mount Lavinia	4.7	30	Mount Lavinia	negombo_tangalle
poi_1769331315433_399	Dehiwala Church Of Christ	culture	6.846758800000001	79.864856	19 Auburn Side, Dehiwala-Mount Lavinia	5	7	Mount Lavinia	negombo_tangalle
poi_1769331315433_400	Community Concern	culture	6.8476766	79.8634852	15/4 Aponsu Mawatha, Dehiwala-Mount Lavinia	4.5	11	Mount Lavinia	negombo_tangalle
poi_1769331315433_401	GKK Consultants	culture	6.848606799999999	79.8655301	5 Sri Gunalankara Mawatha, Dehiwala-Mount Lavinia	0	0	Mount Lavinia	negombo_tangalle
poi_1769331315433_402	KK	culture	6.8496342	79.86584119999999	64 2/1 Galle Road, Dehiwala-Mount Lavinia	0	0	Mount Lavinia	negombo_tangalle
poi_1769331315433_403	Canaan Fellowship International Church - Mount Lavinia	culture	6.831323299999999	79.86401090000001	No.79 Station Road, Dehiwala-Mount Lavinia	5	3	Mount Lavinia	negombo_tangalle
poi_1769331315433_404	Church of Love	culture	6.8316906	79.8666898	2 Old Quarry Road, Dehiwala-Mount Lavinia	5	3	Mount Lavinia	negombo_tangalle
poi_1769331315433_405	Believers’ Fellowship	culture	6.8505213	79.86579789999999	2nd Floor, 28 Galle Road, Dehiwala South	4.5	21	Mount Lavinia	negombo_tangalle
poi_1769331315433_406	Dutch Reformed Church Dehiwala	culture	6.8507884	79.86388989999999	3 Presbyterian Lane, Dehiwala-Mount Lavinia	0	0	Mount Lavinia	negombo_tangalle
poi_1769331315433_407	Faith Gospel Church	culture	6.8506796	79.8658558	No 22,2nd floor, Galle Road, Dehiwala-Mount Lavinia	2	1	Mount Lavinia	negombo_tangalle
poi_1769331315433_408	The United Pentecostal Church Sri Lanka, National HQ	culture	6.8313057	79.86881	1 Templer Place, Dehiwala-Mount Lavinia	4.4	16	Mount Lavinia	negombo_tangalle
poi_1769331315433_409	Attidiya Methodist Church	culture	6.836230899999999	79.875064	RVPG+C29, Dehiwala-Mount Lavinia	0	0	Mount Lavinia	negombo_tangalle
poi_1769331317186_410	Mount Lavinia Grand Masjid (Watarappala Fakhira Jummah Masjid)	culture	6.837467999999999	79.8698619	Mosque Road, Dehiwala-Mount Lavinia	4.8	295	Mount Lavinia	negombo_tangalle
poi_1769331317186_411	Zainab Jumma Masjid	culture	6.8450321	79.86955170000002	24 Samagi Mawatha, Dehiwala-Mount Lavinia	4.6	349	Mount Lavinia	negombo_tangalle
poi_1769331317186_412	Masjidun Noor	culture	6.833095599999999	79.86475519999999	RVM7+6WJ, Dehiwala-Mount Lavinia	5	25	Mount Lavinia	negombo_tangalle
poi_1769331317186_413	Kawdana Jummah Mosque	culture	6.8474968	79.8674961	RVW8+XXX, Kawdana Road, Dehiwala-Mount Lavinia	4.9	96	Mount Lavinia	negombo_tangalle
poi_1769331317186_414	Noor Ul Quran Arabic School	culture	6.847680699999999	79.8675275	15a B547, Dehiwala-Mount Lavinia	4.8	50	Mount Lavinia	negombo_tangalle
poi_1769331317186_415	Bilal Masjid	culture	6.8400748	79.8753376	118/A Abeysekara Road, Dehiwala-Mount Lavinia	4.7	259	Mount Lavinia	negombo_tangalle
poi_1769331317186_416	Gazzali Masjid	culture	6.8371493	79.8750898	RVPG+V24, Dehiwala-Mount Lavinia	4.9	30	Mount Lavinia	negombo_tangalle
poi_1769331317186_417	Dehiwala Town Jumma Masjid	culture	6.8528898	79.86607289999999	VV38+5C4, A2, Colombo	4.7	281	Mount Lavinia	negombo_tangalle
poi_1769331317186_418	Dehiwala Junction Mosque	culture	6.8529697	79.8662737	197, 2 (3/1 Galle Road, Dehiwala-Mount Lavinia	5	1	Mount Lavinia	negombo_tangalle
poi_1769331317186_419	Masjid Al- Azhar	culture	6.855715300000001	79.8677493	VV49+73Q, Sintha Place, Dehiwala-Mount Lavinia	4.7	63	Mount Lavinia	negombo_tangalle
poi_1769331317186_420	Masjid-ul Hiba Attidiya	culture	6.8399983	79.8812035	RVQJ+XFW, B547, Dehiwala-Mount Lavinia	4.7	142	Mount Lavinia	negombo_tangalle
poi_1769331320675_422	Dilitha Aquarium	culture	6.8448544	79.8681687	23/7 Terans Road, Dehiwala-Mount Lavinia	5	1	Mount Lavinia	negombo_tangalle
poi_1769331320675_423	Ominmo	culture	6.84486	79.868685	Mihindu Road, Dehiwala-Mount Lavinia	4.7	3	Mount Lavinia	negombo_tangalle
poi_1769331320675_424	Aqua Planet Projects Pvt Ltd	culture	6.8541987	79.8726037	138 Waidya Road, Dehiwala-Mount Lavinia	2.8	8	Mount Lavinia	negombo_tangalle
poi_1769331320675_425	Manilka's Aquarium	culture	6.857510199999999	79.8664457	93/4 Hilda Lane, Dehiwala-Mount Lavinia	4.6	147	Mount Lavinia	negombo_tangalle
poi_1769331322409_426	Dehivala zoo	culture	6.850247899999999	79.8719914	Dehiwala-Mount Lavinia	0	0	Mount Lavinia	negombo_tangalle
poi_1769331324183_429	Lavinia Restaurant Mount Lavinia Beach	food	6.841889399999999	79.8627561	1A, 43/10 වෙරළ පාර, දෙහිවල-ගල්කිස්ස	3.9	1244	Mount Lavinia	negombo_tangalle
poi_1769331324183_430	Governor's Restaurant	food	6.8336111	79.8619444	100 Hotel Road, Dehiwala-Mount Lavinia	4.3	926	Mount Lavinia	negombo_tangalle
poi_1769331324183_431	Little Star - Mount Lavinia	food	6.8368557	79.8672282	No. 274 Galle - Colombo Road, Dehiwala-Mount Lavinia	4.2	2140	Mount Lavinia	negombo_tangalle
poi_1769331324183_432	Mountbaylk	food	6.8402483	79.8633965	26, 11 De Saram Road, Dehiwala-Mount Lavinia	4.7	78	Mount Lavinia	negombo_tangalle
poi_1769331324183_433	JoJo's Place	food	6.841030200000001	79.8628839	RVR7+H4C, 43/6A De Alwis Avenue, Dehiwala-Mount Lavinia	4.3	273	Mount Lavinia	negombo_tangalle
poi_1769331324183_434	Addara Beach Club	food	6.841607199999999	79.862823	43 Beach Road, Dehiwala-Mount Lavinia	4	4	Mount Lavinia	negombo_tangalle
poi_1769331324183_435	Boat Haus Cafe	food	6.8421886	79.8627181	37 Beach Road, Dehiwala-Mount Lavinia	3.8	292	Mount Lavinia	negombo_tangalle
poi_1769331324183_436	Burger King - Mount Lavinia	food	6.8421372	79.8665625	Dehiwala-Mount Lavinia	4.2	2356	Mount Lavinia	negombo_tangalle
poi_1769331324183_437	Arthur's Pizzeria - Mount Lavinia	food	6.841794	79.866795	220 Galle Road, Dehiwala-Mount Lavinia	4.6	4789	Mount Lavinia	negombo_tangalle
poi_1769331324183_438	Casserole Restaurant	food	6.841896699999999	79.8670834	RVR8+QR4, A2, Dehiwala-Mount Lavinia	4.3	1056	Mount Lavinia	negombo_tangalle
poi_1769331324183_439	La Langousterie	nightlife	6.8359444	79.863075	50, 12 De Saram Road, Dehiwala-Mount Lavinia	3.8	133	Mount Lavinia	negombo_tangalle
poi_1769331324183_440	KFC - Mount Lavinia	food	6.837326699999998	79.8673063	270 A2, Dehiwala-Mount Lavinia	3.8	2172	Mount Lavinia	negombo_tangalle
poi_1769331324183_441	Subway - Mount Lavinia	food	6.8363521	79.86712349999999	275 Galle Road, Dehiwala-Mount Lavinia	3.8	721	Mount Lavinia	negombo_tangalle
poi_1769331324183_442	Thai Cuisine La Rambla	food	6.833512199999999	79.8644648	RVM7+CQ4, Hotel Road, Dehiwala-Mount Lavinia	4.4	193	Mount Lavinia	negombo_tangalle
poi_1769331324183_443	Lambastica	food	6.833451299999999	79.8640721	73 Hotel Road, Dehiwala-Mount Lavinia	4.5	2	Mount Lavinia	negombo_tangalle
poi_1769331324184_445	P&S (Perera & Sons) - Dehiwala	food	6.849748599999999	79.8661068	37, 51 Colombo Main Road, Dehiwala-Mount Lavinia	3.9	256	Mount Lavinia	negombo_tangalle
poi_1769331324184_446	Cafe Asiana	food	6.8506608	79.8702087	97 Hill Street, Dehiwala-Mount Lavinia	4.1	842	Mount Lavinia	negombo_tangalle
poi_1769331325939_447	Lia Cafe	food	6.839910499999999	79.8645603	32 De Saram Road, Dehiwala-Mount Lavinia	5	31	Mount Lavinia	negombo_tangalle
poi_1769331325939_448	Sandpit	food	6.8417979	79.86606139999999	Solomon Peiris Mawatha, Dehiwala-Mount Lavinia	0	0	Mount Lavinia	negombo_tangalle
poi_1769331325939_449	Café 79'	food	6.838140999999998	79.86478269999999	RVQ7+7W3, Dehiwala-Mount Lavinia	0	0	Mount Lavinia	negombo_tangalle
poi_1769331325939_450	Mint Blossom	food	6.842419899999999	79.8666089	6°50'32. 79°51'59., 8"N 8th Lane, Colombo	4.2	6	Mount Lavinia	negombo_tangalle
poi_1769331325939_451	Barista - Mount Lavinia	food	6.8425708	79.8665362	198 Galle Road, Dehiwala-Mount Lavinia	4.5	572	Mount Lavinia	negombo_tangalle
poi_1769331325939_452	Tea House	food	6.8432514	79.866782	RVV8+8P3, Saint Anthony's Mw, Dehiwala-Mount Lavinia	0	0	Mount Lavinia	negombo_tangalle
poi_1769331325939_453	Chanchala Foods	food	6.838654500000001	79.8675082	534r Galle Road, Dehiwala-Mount Lavinia	5	1	Mount Lavinia	negombo_tangalle
